DATE,A576RC1
1959-01-01,252.2
1959-02-01,253.7
1959-03-01,256.1
1959-04-01,258.5
1959-05-01,260.8
1959-06-01,262.4
1959-07-01,262.1
1959-08-01,260.3
1959-09-01,260.3
1959-10-01,261.2
1959-11-01,263.3
1959-12-01,267.2
1960-01-01,270.2
1960-02-01,270.8
1960-03-01,271.2
1960-04-01,272.9
1960-05-01,273.8
1960-06-01,273.5
1960-07-01,274.0
1960-08-01,273.9
1960-09-01,274.0
1960-10-01,275.0
1960-11-01,273.7
1960-12-01,271.2
1961-01-01,273.5
1961-02-01,273.4
1961-03-01,274.5
1961-04-01,275.6
1961-05-01,277.3
1961-06-01,280.0
1961-07-01,281.2
1961-08-01,282.5
1961-09-01,283.0
1961-10-01,285.8
1961-11-01,289.0
1961-12-01,290.5
1962-01-01,290.7
1962-02-01,293.2
1962-03-01,296.0
1962-04-01,298.2
1962-05-01,298.5
1962-06-01,299.6
1962-07-01,300.4
1962-08-01,300.6
1962-09-01,302.5
1962-10-01,302.5
1962-11-01,304.6
1962-12-01,305.6
1963-01-01,306.5
1963-02-01,307.9
1963-03-01,309.5
1963-04-01,310.2
1963-05-01,312.0
1963-06-01,314.9
1963-07-01,315.0
1963-08-01,316.8
1963-09-01,318.7
1963-10-01,320.9
1963-11-01,321.6
1963-12-01,324.2
1964-01-01,325.1
1964-02-01,329.0
1964-03-01,330.6
1964-04-01,332.8
1964-05-01,334.9
1964-06-01,336.8
1964-07-01,338.6
1964-08-01,342.0
1964-09-01,343.6
1964-10-01,343.5
1964-11-01,346.3
1964-12-01,350.2
1965-01-01,351.0
1965-02-01,352.9
1965-03-01,354.6
1965-04-01,356.3
1965-05-01,359.4
1965-06-01,360.9
1965-07-01,363.5
1965-08-01,365.9
1965-09-01,369.2
1965-10-01,373.8
1965-11-01,377.2
1965-12-01,380.4
1966-01-01,382.5
1966-02-01,386.0
1966-03-01,388.8
1966-04-01,392.7
1966-05-01,395.5
1966-06-01,399.5
1966-07-01,403.5
1966-08-01,406.4
1966-09-01,408.5
1966-10-01,411.8
1966-11-01,413.7
1966-12-01,415.0
1967-01-01,418.3
1967-02-01,418.2
1967-03-01,420.0
1967-04-01,421.8
1967-05-01,422.7
1967-06-01,426.3
1967-07-01,429.3
1967-08-01,432.5
1967-09-01,434.2
1967-10-01,435.4
1967-11-01,440.6
1967-12-01,448.8
1968-01-01,449.0
1968-02-01,455.2
1968-03-01,458.4
1968-04-01,461.6
1968-05-01,466.2
1968-06-01,470.0
1968-07-01,474.6
1968-08-01,478.1
1968-09-01,482.3
1968-10-01,485.6
1968-11-01,489.8
1968-12-01,492.8
1969-01-01,495.6
1969-02-01,498.2
1969-03-01,503.4
1969-04-01,507.3
1969-05-01,511.3
1969-06-01,515.6
1969-07-01,521.9
1969-08-01,526.9
1969-09-01,530.4
1969-10-01,534.0
1969-11-01,536.4
1969-12-01,539.0
1970-01-01,542.5
1970-02-01,544.8
1970-03-01,548.0
1970-04-01,548.4
1970-05-01,549.8
1970-06-01,549.0
1970-07-01,554.0
1970-08-01,556.0
1970-09-01,557.3
1970-10-01,554.4
1970-11-01,555.2
1970-12-01,559.5
1971-01-01,567.8
1971-02-01,570.5
1971-03-01,573.3
1971-04-01,576.8
1971-05-01,581.5
1971-06-01,583.1
1971-07-01,585.0
1971-08-01,590.5
1971-09-01,590.9
1971-10-01,592.8
1971-11-01,596.3
1971-12-01,606.3
1972-01-01,612.8
1972-02-01,619.6
1972-03-01,623.0
1972-04-01,627.5
1972-05-01,630.1
1972-06-01,633.5
1972-07-01,635.9
1972-08-01,642.6
1972-09-01,648.4
1972-10-01,658.0
1972-11-01,663.8
1972-12-01,670.2
1973-01-01,676.2
1973-02-01,684.4
1973-03-01,689.4
1973-04-01,695.3
1973-05-01,699.8
1973-06-01,705.5
1973-07-01,711.5
1973-08-01,715.2
1973-09-01,721.8
1973-10-01,728.6
1973-11-01,736.7
1973-12-01,740.7
1974-01-01,744.2
1974-02-01,748.4
1974-03-01,751.9
1974-04-01,756.2
1974-05-01,765.6
1974-06-01,774.2
1974-07-01,779.6
1974-08-01,782.0
1974-09-01,787.8
1974-10-01,795.3
1974-11-01,790.8
1974-12-01,791.4
1975-01-01,792.6
1975-02-01,790.3
1975-03-01,792.9
1975-04-01,793.7
1975-05-01,800.9
1975-06-01,806.5
1975-07-01,811.2
1975-08-01,823.3
1975-09-01,829.3
1975-10-01,838.0
1975-11-01,846.4
1975-12-01,852.9
1976-01-01,865.2
1976-02-01,872.0
1976-03-01,876.5
1976-04-01,883.6
1976-05-01,891.0
1976-06-01,893.6
1976-07-01,900.9
1976-08-01,909.6
1976-09-01,914.8
1976-10-01,920.4
1976-11-01,931.2
1976-12-01,938.2
1977-01-01,939.6
1977-02-01,950.8
1977-03-01,959.8
1977-04-01,970.0
1977-05-01,981.8
1977-06-01,990.9
1977-07-01,999.7
1977-08-01,1005.7
1977-09-01,1017.1
1977-10-01,1030.7
1977-11-01,1038.8
1977-12-01,1045.0
1978-01-01,1051.8
1978-02-01,1062.6
1978-03-01,1078.3
1978-04-01,1096.3
1978-05-01,1103.8
1978-06-01,1117.8
1978-07-01,1128.1
1978-08-01,1136.1
1978-09-01,1147.2
1978-10-01,1164.2
1978-11-01,1174.2
1978-12-01,1186.5
1979-01-01,1196.6
1979-02-01,1207.0
1979-03-01,1221.4
1979-04-01,1222.2
1979-05-01,1232.9
1979-06-01,1247.0
1979-07-01,1258.7
1979-08-01,1266.8
1979-09-01,1279.1
1979-10-01,1289.9
1979-11-01,1302.4
1979-12-01,1315.7
1980-01-01,1323.1
1980-02-01,1334.5
1980-03-01,1347.0
1980-04-01,1346.1
1980-05-01,1349.6
1980-06-01,1357.4
1980-07-01,1360.3
1980-08-01,1377.4
1980-09-01,1390.5
1980-10-01,1415.4
1980-11-01,1433.8
1980-12-01,1445.9
1981-01-01,1460.2
1981-02-01,1467.8
1981-03-01,1479.2
1981-04-01,1487.8
1981-05-01,1494.8
1981-06-01,1506.0
1981-07-01,1516.6
1981-08-01,1531.6
1981-09-01,1538.0
1981-10-01,1547.8
1981-11-01,1554.0
1981-12-01,1552.7
1982-01-01,1561.2
1982-02-01,1569.7
1982-03-01,1570.6
1982-04-01,1571.6
1982-05-01,1584.1
1982-06-01,1587.1
1982-07-01,1594.6
1982-08-01,1597.8
1982-09-01,1595.7
1982-10-01,1600.3
1982-11-01,1603.5
1982-12-01,1613.8
1983-01-01,1622.4
1983-02-01,1618.0
1983-03-01,1628.7
1983-04-01,1639.8
1983-05-01,1658.4
1983-06-01,1667.1
1983-07-01,1683.3
1983-08-01,1689.5
