DATE,BA06RC1A027NBEA
1982-01-01,1479.2
1983-01-01,1563.5
1984-01-01,1718
1985-01-01,1848
1986-01-01,1961.5
1987-01-01,2107.9
1988-01-01,2280.6
1989-01-01,2415.1
1990-01-01,2564.5
1991-01-01,2627
1992-01-01,2781.7
1993-01-01,2884.5
1994-01-01,3033.7
1995-01-01,3215.9
1996-01-01,3414.5
1997-01-01,3674
1998-01-01,3967.1
1999-01-01,4235.6
2000-01-01,4587.7
2001-01-01,4695.2
2002-01-01,4714.4
2003-01-01,4826.3
2004-01-01,5087.6
2005-01-01,5351.9
2006-01-01,5692.6
2007-01-01,6018.1
2008-01-01,6142.2
2009-01-01,5859.2
2010-01-01,5975.7
2011-01-01,6217.3
2012-01-01,6491.2
2013-01-01,6672.6
2014-01-01,7017
2015-01-01,7384.1
